Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)
Aligned_pair1_v	58	0.104	0.28	0.319	0.28	0.319	-1.485	0.138	0.246	4.94E-04	0.002	0.017	0.007	0.004	0.009	0.294	0.52	1.429	1.52	0	0	0
Aligned_pair1_v	59	0.103	0.284	0.329	0.284	0.329	-1.453	0.14	0.227	5.12E-04	0.002	0.017	0.007	0.004	0.009	0.294	0.493	1.107	1.376	0.232	0.231	0.015
Aligned_pair1_v	60	0.095	0.274	0.323	0.274	0.323	-1.442	0.139	0.228	4.57E-04	0.001	0.015	0.006	0.003	0.007	0.294	0.5	1.272	1.333	0	0	0
Aligned_pair1_v	61	0.099	0.278	0.315	0.278	0.315	1.546	0.133	0.236	4.59E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.49	1.798	1.355	0.331	0.286	0.087
Aligned_pair1_v	62	0.089	0.281	0.326	0.281	0.326	-1.57	0.134	0.225	3.92E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.483	1.723	1.324	0.232	0.22	0.023
Aligned_pair1_v	63	0.089	0.281	0.315	0.281	0.315	-1.504	0.14	0.21	4.16E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.478	1.176	1.364	0.331	0.31	0.048
Aligned_pair1_v	64	0.09	0.284	0.306	0.284	0.306	-1.497	0.128	0.213	3.75E-04	0.001	0.015	0.006	0.003	0.007	0.257	0.478	1.176	1.346	0	NaN	NaN
Aligned_pair1_v	65	0.095	0.284	0.308	0.284	0.308	-1.519	0.141	0.21	4.34E-04	0.001	0.016	0.006	0.003	0.008	0.294	0.478	1.176	1.437	0.232	0.216	0.031
Aligned_pair1_v	66	0.09	0.283	0.32	0.283	0.32	-1.533	0.124	0.232	3.44E-04	0.001	0.015	0.006	0.003	0.007	0.257	0.5	1.272	1.212	0	0	0
Aligned_pair1_v	67	0.085	0.282	0.3	0.282	0.3	1.563	0.134	0.215	3.45E-04	0.001	0.014	0.005	0.003	0.006	0.29	0.465	1.893	1.376	0.367	0.342	0.065
Aligned_pair1_v	68	0.08	0.277	0.31	0.277	0.31	-1.436	0.121	0.21	3.07E-04	8.98E-04	0.013	0.004	0.003	0.006	0.274	0.455	1.326	1.199	0	0	0
Aligned_pair1_v	69	0.084	0.277	0.318	0.277	0.318	1.565	0.13	0.208	3.66E-04	0.001	0.014	0.005	0.003	0.007	0.294	0.465	1.893	1.459	0.22	0.217	0.019
Aligned_pair1_v	70	0.085	0.286	0.318	0.286	0.318	-1.523	0.124	0.208	3.66E-04	0.001	0.014	0.005	0.003	0.007	0.257	0.455	1.326	1.251	0.22	0.217	0.019
Aligned_pair1_v	71	0.074	0.276	0.333	0.276	0.333	-1.548	0.131	0.188	2.92E-04	8.07E-04	0.012	0.004	0.002	0.005	0.291	0.444	1.144	1.199	0.331	0.286	0.087
Aligned_pair1_v	72	0.074	0.281	0.347	0.281	0.347	-1.522	0.132	0.202	3.07E-04	7.06E-04	0.012	0.003	0.002	0.005	0.294	0.43	1.222	1.177	0	NaN	NaN
Aligned_pair1_v	73	0.077	0.291	0.332	0.291	0.332	-1.521	0.121	0.185	3.40E-04	7.84E-04	0.013	0.004	0.003	0.006	0.257	0.411	2.034	1.199	0.22	0.212	0.024
Aligned_pair1_v	74	0.078	0.284	0.317	0.284	0.317	-1.517	0.127	0.2	3.30E-04	9.08E-04	0.013	0.005	0.003	0.006	0.257	0.444	1.144	1.251	0	0	0
Aligned_pair1_v	75	0.078	0.284	0.333	0.284	0.333	1.486	0.126	0.193	3.30E-04	8.84E-04	0.013	0.005	0.003	0.006	0.257	0.449	2.182	1.22	0.22	0.209	0.021
Aligned_pair1_v	76	0.07	0.278	0.33	0.278	0.33	-1.559	0.095	0.185	2.46E-04	7.14E-04	0.012	0.004	0.003	0.005	0.22	0.43	1.222	1.117	0	0	0
Aligned_pair1_v	77	0.073	0.276	0.323	0.276	0.323	1.548	0.095	0.19	2.52E-04	8.23E-04	0.012	0.004	0.003	0.005	0.22	0.43	1.222	1.16	0	NaN	NaN
Aligned_pair1_v	78	0.073	0.282	0.332	0.282	0.332	1.542	0.119	0.185	2.78E-04	7.30E-04	0.012	0.004	0.002	0.005	0.257	0.43	1.222	1.117	0	NaN	NaN
Aligned_pair1_v	79	0.07	0.283	0.329	0.283	0.329	-1.562	0.1	0.186	2.28E-04	7.28E-04	0.012	0.004	0.002	0.005	0.22	0.419	1.305	1.065	0.22	0.217	0.019
Aligned_pair1_v	80	0.069	0.286	0.341	0.286	0.341	1.517	0.113	0.193	2.42E-04	6.54E-04	0.011	0.003	0.002	0.005	0.248	0.419	1.305	1.095	0	NaN	NaN
Aligned_pair1_v	81	0.07	0.278	0.33	0.278	0.33	1.385	0.113	0.19	2.56E-04	7.12E-04	0.011	0.004	0.002	0.005	0.255	0.429	2.111	1.177	0.22	0.201	0.041
Aligned_pair1_v	82	0.065	0.286	0.339	0.286	0.339	1.31	0.125	0.202	2.45E-04	5.78E-04	0.01	0.003	0.002	0.004	0.257	0.429	2.111	1.147	0	0	0
Aligned_pair1_v	83	0.065	0.286	0.341	0.286	0.341	1.396	0.118	0.167	2.49E-04	5.31E-04	0.01	0.003	0.002	0.004	0.257	0.397	2.159	1.065	0.331	0.302	0.05
Aligned_pair1_v	84	0.063	0.279	0.34	0.279	0.34	1.392	0.112	0.164	2.24E-04	5.49E-04	0.01	0.003	0.002	0.005	0.257	0.378	2.078	1.073	0	0	0
Aligned_pair1_v	85	0.063	0.285	0.339	0.285	0.339	1.365	0.12	0.165	2.35E-04	5.55E-04	0.01	0.003	0.002	0.004	0.257	0.397	2.159	1.156	0.164	0.158	0.023
Aligned_pair1_v	86	0.063	0.279	0.33	0.279	0.33	1.454	0.111	0.189	2.14E-04	5.96E-04	0.01	0.003	0.002	0.004	0.257	0.397	2.159	1.156	0.184	0.173	0.038
Aligned_pair1_v	87	0.058	0.279	0.314	0.279	0.314	-1.482	0.103	0.171	1.94E-04	4.60E-04	0.01	0.003	0.002	0.004	0.22	0.396	1.19	1.134	0.22	0.216	0.025
Aligned_pair1_v	88	0.063	0.287	0.319	0.287	0.319	1.493	0.119	0.171	2.42E-04	5.00E-04	0.011	0.003	0.002	0.004	0.257	0.375	1.373	1.134	0.232	0.218	0.04
Aligned_pair1_v	89	0.066	0.28	0.324	0.28	0.324	-1.412	0.141	0.161	3.02E-04	4.98E-04	0.011	0.003	0.002	0.005	0.294	0.367	2.214	1.177	0	NaN	NaN
Aligned_pair1_v	90	0.069	0.283	0.321	0.283	0.321	-1.417	0.138	0.18	2.87E-04	6.23E-04	0.011	0.003	0.002	0.005	0.294	0.411	1.107	1.217	0	0	0
Aligned_pair1_v	91	0.062	0.281	0.34	0.281	0.34	1.506	0.133	0.153	2.71E-04	4.39E-04	0.01	0.003	0.002	0.004	0.278	0.378	1.064	1.125	0	NaN	NaN
Aligned_pair1_v	92	0.059	0.296	0.334	0.296	0.334	1.531	0.113	0.152	2.00E-04	4.51E-04	0.01	0.003	0.002	0.004	0.257	0.349	1.893	1.052	0	0	0
Aligned_pair1_v	93	0.062	0.292	0.355	0.292	0.355	1.563	0.111	0.172	2.40E-04	5.07E-04	0.01	0.003	0.002	0.004	0.257	0.411	2.034	1.199	0	NaN	NaN
Aligned_pair1_v	94	0.065	0.283	0.367	0.283	0.367	1.505	0.116	0.185	2.59E-04	5.36E-04	0.011	0.003	0.002	0.004	0.257	0.396	1.951	1.177	0	NaN	NaN
Aligned_pair1_v	95	0.074	0.277	0.363	0.277	0.363	-1.473	0.141	0.183	3.46E-04	6.81E-04	0.012	0.004	0.002	0.005	0.294	0.411	2.034	1.281	0.22	0.213	0.03
Aligned_pair1_v	96	0.074	0.274	0.36	0.274	0.36	-1.52	0.134	0.179	3.27E-04	7.05E-04	0.012	0.004	0.002	0.006	0.294	0.411	1.107	1.177	0.331	0.302	0.05
Aligned_pair1_v	97	0.073	0.284	0.361	0.284	0.361	-1.442	0.138	0.187	3.03E-04	7.20E-04	0.012	0.004	0.002	0.005	0.294	0.419	0.91	1.22	0.22	0.216	0.025
Aligned_pair1_v	98	0.081	0.283	0.374	0.283	0.374	-1.476	0.134	0.197	4.02E-04	8.51E-04	0.013	0.004	0.003	0.006	0.294	0.46	1.071	1.242	0	0	0
Aligned_pair1_v	99	0.077	0.283	0.372	0.283	0.372	-1.332	0.134	0.203	3.11E-04	8.37E-04	0.012	0.004	0.002	0.006	0.29	0.444	1.144	1.229	0.331	0.309	0.055
Aligned_pair1_v	100	0.084	0.279	0.376	0.279	0.376	-1.434	0.123	0.202	3.62E-04	9.88E-04	0.014	0.005	0.003	0.006	0.274	0.46	1.071	1.324	0	0	0
Aligned_pair1_v	101	0.085	0.281	0.372	0.281	0.372	-1.442	0.132	0.197	3.65E-04	0.001	0.014	0.005	0.003	0.007	0.29	0.46	1.071	1.303	0.22	0.213	0.021
Aligned_pair1_v	102	0.077	0.289	0.385	0.289	0.385	-1.299	0.116	0.215	2.56E-04	9.77E-04	0.012	0.005	0.002	0.006	0.257	0.478	1.176	1.281	0.331	0.311	0.053
Aligned_pair1_v	103	0.076	0.289	0.394	0.289	0.394	-1.269	0.124	0.2	2.69E-04	8.66E-04	0.011	0.004	0.002	0.005	0.257	0.449	0.96	1.199	0	NaN	NaN
Aligned_pair1_v	104	0.074	0.3	0.382	0.3	0.382	-1.329	0.116	0.208	2.43E-04	9.71E-04	0.012	0.005	0.002	0.006	0.255	0.46	1.071	1.251	0.208	0.182	0.035
Aligned_pair1_v	105	0.072	0.297	0.409	0.297	0.409	-1.353	0.112	0.199	2.13E-04	9.12E-04	0.011	0.005	0.002	0.006	0.256	0.444	1.144	1.199	0	NaN	NaN
Aligned_pair1_v	106	0.073	0.301	0.424	0.301	0.424	-1.435	0.114	0.211	2.39E-04	9.15E-04	0.012	0.004	0.002	0.005	0.257	0.478	1.176	1.272	0	0	0
Aligned_pair1_v	107	0.076	0.305	0.419	0.305	0.419	-1.563	0.122	0.199	2.89E-04	8.39E-04	0.013	0.004	0.002	0.005	0.257	0.444	1.144	1.169	0.164	0.135	0.039
Aligned_pair1_v	108	0.084	0.302	0.414	0.302	0.414	1.533	0.118	0.193	3.57E-04	9.58E-04	0.014	0.005	0.003	0.006	0.257	0.444	1.144	1.19	0	0	0
Aligned_pair1_v	109	0.078	0.305	0.415	0.305	0.415	1.483	0.12	0.198	2.90E-04	9.31E-04	0.013	0.005	0.002	0.006	0.257	0.444	1.997	1.22	0	NaN	NaN
Aligned_pair2_d	9	0.097	0.288	0.383	0.288	0.383	1.329	0.177	0.209	6.21E-04	9.97E-04	0.015	0.005	0.004	0.008	0.362	0.455	1.816	1.29	0.303	0.297	0.036
Aligned_pair2_d	10	0.107	0.296	0.367	0.296	0.367	1.401	0.155	0.224	6.57E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.49	1.798	1.281	0	NaN	NaN
Aligned_pair2_d	11	0.1	0.298	0.361	0.298	0.361	1.397	0.157	0.211	5.81E-04	0.001	0.016	0.006	0.004	0.008	0.331	0.455	1.816	1.251	0.303	0.292	0.027
Aligned_pair2_d	12	0.103	0.299	0.369	0.299	0.369	1.327	0.174	0.225	6.22E-04	0.001	0.016	0.006	0.004	0.008	0.347	0.49	1.798	1.312	0.303	0.292	0.027
Aligned_pair2_d	13	0.111	0.299	0.364	0.299	0.364	1.516	0.156	0.252	6.83E-04	0.002	0.018	0.006	0.004	0.009	0.331	0.526	1.36	1.407	0	0	0
Aligned_pair2_d	14	0.101	0.299	0.349	0.299	0.349	1.42	0.158	0.231	5.85E-04	0.001	0.017	0.005	0.004	0.008	0.331	0.483	1.723	1.281	0.588	0.503	0.142
Aligned_pair2_d	15	0.105	0.294	0.348	0.294	0.348	-1.486	0.154	0.206	7.01E-04	0.001	0.017	0.006	0.005	0.009	0.331	0.455	1.326	1.199	0.104	0.088	0.014
Aligned_pair2_d	16	0.101	0.289	0.339	0.289	0.339	-1.409	0.153	0.215	6.11E-04	0.001	0.016	0.006	0.004	0.008	0.331	0.455	1.326	1.251	0	NaN	NaN
Aligned_pair2_d	17	0.096	0.279	0.337	0.279	0.337	1.532	0.17	0.215	5.63E-04	0.001	0.016	0.005	0.003	0.008	0.331	0.455	1.326	1.29	0	NaN	NaN
Aligned_pair2_d	18	0.096	0.282	0.338	0.282	0.338	-1.564	0.136	0.213	4.99E-04	0.001	0.016	0.005	0.004	0.008	0.294	0.455	1.326	1.169	0.588	0.564	0.081
Aligned_pair2_d	19	0.105	0.283	0.343	0.283	0.343	-1.426	0.162	0.21	6.30E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.465	1.249	1.251	0.294	0.286	0.031
Aligned_pair2_d	20	0.103	0.283	0.348	0.283	0.348	-1.468	0.17	0.241	5.84E-04	0.001	0.017	0.006	0.003	0.008	0.331	0.5	1.272	1.333	0.588	0.516	0.129
Aligned_pair2_d	21	0.103	0.282	0.343	0.282	0.343	-1.354	0.143	0.218	5.58E-04	0.001	0.016	0.006	0.004	0.008	0.294	0.479	1.004	1.294	0	0	0
Aligned_pair2_d	22	0.104	0.282	0.343	0.282	0.343	-1.414	0.16	0.237	6.09E-04	0.001	0.017	0.006	0.004	0.008	0.331	0.49	1.344	1.312	0.294	0.271	0.045
Aligned_pair2_d	23	0.103	0.287	0.345	0.287	0.345	-1.486	0.144	0.238	5.58E-04	0.001	0.017	0.006	0.004	0.008	0.294	0.49	1.344	1.312	0.294	0.267	0.054
Aligned_pair2_d	24	0.109	0.287	0.344	0.287	0.344	-1.374	0.147	0.245	6.17E-04	0.002	0.018	0.007	0.004	0.009	0.294	0.512	1.204	1.355	0.294	0.266	0.047
Aligned_pair2_d	25	0.109	0.292	0.335	0.292	0.335	-1.429	0.152	0.233	6.82E-04	0.001	0.018	0.006	0.004	0.009	0.331	0.5	1.272	1.272	0.625	0.606	0.063
Aligned_pair2_d	26	0.103	0.281	0.323	0.281	0.323	-1.196	0.151	0.216	6.16E-04	0.001	0.015	0.006	0.004	0.008	0.338	0.465	1.249	1.238	0.294	0.271	0.045
Aligned_pair2_d	27	0.105	0.268	0.322	0.268	0.322	-1.384	0.167	0.234	6.35E-04	0.001	0.017	0.006	0.004	0.008	0.362	0.5	1.272	1.416	0.588	0.495	0.137
Aligned_pair2_d	28	0.101	0.267	0.315	0.267	0.315	1.533	0.158	0.206	6.32E-04	0.001	0.017	0.006	0.004	0.008	0.331	0.455	1.816	1.312	0.265	0.247	0.04
Aligned_pair2_d	29	0.105	0.268	0.311	0.268	0.311	-1.319	0.148	0.21	6.23E-04	0.001	0.016	0.006	0.004	0.009	0.331	0.465	1.249	1.251	0	0	0
Aligned_pair2_d	30	0.104	0.265	0.313	0.265	0.313	-1.33	0.146	0.242	5.60E-04	0.001	0.016	0.006	0.004	0.008	0.321	0.5	1.272	1.333	0.265	0.247	0.04
Aligned_pair2_d	31	0.101	0.268	0.302	0.268	0.302	-1.309	0.164	0.208	6.53E-04	0.001	0.016	0.006	0.004	0.009	0.345	0.455	1.816	1.333	0	NaN	NaN
Aligned_pair2_d	32	0.105	0.255	0.307	0.255	0.307	-1.412	0.151	0.21	6.59E-04	0.001	0.017	0.006	0.004	0.009	0.331	0.455	1.816	1.333	0.478	0.429	0.105
Aligned_pair2_d	33	0.097	0.266	0.321	0.266	0.321	-1.393	0.152	0.228	5.28E-04	0.001	0.016	0.005	0.003	0.007	0.321	0.483	1.723	1.364	0	NaN	NaN
Aligned_pair2_d	34	0.109	0.27	0.327	0.27	0.327	-1.383	0.15	0.23	5.83E-04	0.002	0.018	0.007	0.004	0.01	0.314	0.5	1.869	1.459	0	NaN	NaN
Aligned_pair2_d	35	0.113	0.267	0.333	0.267	0.333	-1.503	0.154	0.224	6.34E-04	0.002	0.019	0.008	0.004	0.011	0.324	0.5	1.869	1.346	0.478	0.429	0.105
Aligned_pair2_d	36	0.111	0.265	0.321	0.265	0.321	1.559	0.155	0.231	6.02E-04	0.002	0.018	0.008	0.004	0.01	0.314	0.5	1.869	1.324	0.265	0.248	0.027
Aligned_pair2_d	37	0.097	0.269	0.32	0.269	0.32	-1.566	0.159	0.231	4.48E-04	0.002	0.016	0.007	0.003	0.008	0.314	0.5	1.869	1.385	0	0	0
Aligned_pair2_d	38	0.1	0.267	0.323	0.267	0.323	1.476	0.147	0.233	4.68E-04	0.001	0.017	0.006	0.003	0.008	0.294	0.5	1.869	1.324	0.265	0.248	0.027
Aligned_pair2_d	39	0.09	0.276	0.306	0.276	0.306	1.466	0.136	0.217	3.99E-04	0.001	0.015	0.006	0.003	0.007	0.292	0.478	1.966	1.272	0.478	0.429	0.105
Aligned_pair2_d	40	0.092	0.267	0.309	0.267	0.309	1.534	0.142	0.209	4.61E-04	0.001	0.015	0.005	0.003	0.007	0.294	0.46	2.07	1.333	0.367	0.344	0.07
Aligned_pair2_d	41	0.089	0.262	0.313	0.262	0.313	1.504	0.12	0.203	4.30E-04	9.86E-04	0.015	0.005	0.004	0.007	0.257	0.447	1.406	1.169	0	0	0
Aligned_pair2_d	42	0.082	0.265	0.304	0.265	0.304	1.315	0.129	0.211	4.03E-04	8.16E-04	0.013	0.004	0.003	0.006	0.302	0.43	1.92	1.208	0	NaN	NaN
Aligned_pair2_d	43	0.081	0.253	0.317	0.253	0.317	1.395	0.12	0.201	3.10E-04	9.56E-04	0.013	0.005	0.003	0.006	0.257	0.447	1.406	1.147	0.367	0.337	0.084
Aligned_pair2_d	44	0.08	0.27	0.322	0.27	0.322	1.417	0.131	0.194	3.31E-04	8.40E-04	0.013	0.004	0.003	0.006	0.285	0.43	1.92	1.156	0.367	0.339	0.063
Aligned_pair2_d	45	0.082	0.275	0.334	0.275	0.334	-1.485	0.131	0.218	3.23E-04	9.54E-04	0.014	0.004	0.002	0.006	0.288	0.455	1.326	1.147	0	0	0
Aligned_pair2_d	46	0.086	0.274	0.338	0.274	0.338	-1.484	0.136	0.214	4.01E-04	9.46E-04	0.014	0.004	0.003	0.006	0.294	0.455	1.326	1.208	0	NaN	NaN
Aligned_pair2_d	47	0.081	0.277	0.322	0.277	0.322	-1.496	0.132	0.194	3.42E-04	8.51E-04	0.013	0.004	0.003	0.006	0.294	0.43	1.222	1.095	0.232	0.223	0.033
Aligned_pair2_d	48	0.084	0.279	0.324	0.279	0.324	-1.479	0.134	0.228	3.21E-04	0.001	0.014	0.005	0.002	0.006	0.29	0.5	1.272	1.303	0.232	0.221	0.028
