Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)	Cr_(rad)	M_(rad)	ICrCa(_^4)	IML(_^4)	ZCrCa(__A)	ZML(__A)	RCrCa(_)	RML(_)	DCrCa(_)	DML(_)
Aligned_pair1_d	29	0.557	0.518	0.651	0.518	0.651	-1.374	0.381	0.578	0.016	0.043	0.089	0.075	0.042	0.1	0.742	1.148	1.234	3.106	1.571	1.282	0.421	0	1.571	0.017	0.042	0.048	0.071	0.356	0.594	1.137	0.758
Aligned_pair1_d	30	0.56	0.515	0.658	0.515	0.658	-1.356	0.369	0.568	0.016	0.045	0.089	0.079	0.042	0.103	0.726	1.148	1.234	3.183	0.632	0.582	0.072	0	1.571	0.017	0.043	0.048	0.074	0.352	0.587	1.137	0.758
Aligned_pair1_d	31	0.519	0.494	0.68	0.494	0.68	-1.371	0.342	0.513	0.014	0.036	0.083	0.07	0.042	0.094	0.709	1.079	1.265	3.106	0	0	0	0	1.571	0.015	0.035	0.041	0.069	0.372	0.511	1.029	0.758
Aligned_pair1_d	32	0.502	0.487	0.671	0.487	0.671	-1.351	0.345	0.532	0.013	0.036	0.08	0.067	0.037	0.091	0.713	1.097	1.218	3.151	0	0	0	0	1.571	0.014	0.035	0.037	0.066	0.379	0.521	1.029	0.758
Aligned_pair1_d	33	0.496	0.484	0.673	0.484	0.673	-1.367	0.341	0.529	0.012	0.035	0.079	0.066	0.037	0.09	0.713	1.097	1.218	3.119	1.571	1.282	0.421	0	1.571	0.013	0.034	0.035	0.066	0.383	0.518	1.029	0.758
Aligned_pair1_d	34	0.49	0.484	0.674	0.484	0.674	-1.343	0.331	0.528	0.012	0.035	0.077	0.066	0.036	0.088	0.688	1.097	1.218	3.088	0.583	0.522	0.1	0	1.571	0.013	0.034	0.034	0.065	0.382	0.518	1.029	0.758
Aligned_pair1_d	35	0.487	0.488	0.668	0.488	0.668	-1.361	0.333	0.534	0.012	0.035	0.078	0.065	0.035	0.087	0.688	1.097	1.218	3.196	0	NaN	NaN	0	1.571	0.013	0.034	0.034	0.065	0.379	0.523	1.029	0.758
Aligned_pair1_d	36	0.481	0.479	0.678	0.479	0.678	-1.394	0.327	0.557	0.011	0.034	0.078	0.062	0.034	0.08	0.657	1.089	1.67	2.998	1.571	1.384	0.312	0	1.571	0.012	0.034	0.036	0.059	0.333	0.568	1.083	0.704
Aligned_pair1_d	37	0.487	0.479	0.675	0.479	0.675	-1.389	0.326	0.526	0.011	0.035	0.078	0.066	0.035	0.087	0.657	1.067	1.153	2.953	1.571	1.424	0.257	0	1.571	0.012	0.034	0.037	0.066	0.333	0.516	1.029	0.704
Aligned_pair1_d	38	0.481	0.486	0.673	0.486	0.673	-1.376	0.327	0.572	0.011	0.035	0.077	0.061	0.033	0.08	0.657	1.105	1.373	2.966	1.571	1.424	0.257	0	1.571	0.012	0.034	0.031	0.06	0.381	0.572	1.083	0.758
Aligned_pair1_d	39	0.484	0.487	0.671	0.487	0.671	-1.396	0.333	0.576	0.011	0.036	0.078	0.063	0.033	0.081	0.696	1.105	1.373	2.998	0	0	0	0	1.571	0.012	0.035	0.031	0.061	0.38	0.575	1.083	0.758
Aligned_pair1_d	40	0.487	0.485	0.67	0.485	0.67	-1.395	0.334	0.575	0.011	0.036	0.079	0.063	0.034	0.082	0.696	1.105	1.373	3.043	0	0	0	0	1.571	0.012	0.035	0.031	0.061	0.382	0.575	1.083	0.758
Aligned_pair1_d	41	0.507	0.501	0.675	0.501	0.675	-1.402	0.347	0.529	0.013	0.034	0.082	0.065	0.039	0.09	0.736	1.097	1.218	3.286	0	0	0	0	1.571	0.014	0.034	0.038	0.066	0.365	0.516	1.029	0.758
Aligned_pair1_d	42	0.487	0.493	0.667	0.493	0.667	-1.388	0.338	0.526	0.012	0.033	0.078	0.062	0.036	0.085	0.699	1.079	1.265	3.011	0.583	0.551	0.067	0	1.571	0.013	0.032	0.034	0.061	0.374	0.524	1.029	0.758
Aligned_pair1_d	43	0.493	0.496	0.675	0.496	0.675	-1.406	0.334	0.52	0.012	0.035	0.08	0.067	0.035	0.087	0.684	1.079	1.265	3.043	0.583	0.541	0.082	0	1.571	0.012	0.034	0.034	0.066	0.37	0.517	1.029	0.758
Aligned_pair1_d	44	0.496	0.492	0.664	0.492	0.664	-1.397	0.329	0.529	0.012	0.035	0.08	0.066	0.038	0.086	0.707	1.079	1.265	3.254	0.583	0.53	0.098	0	1.571	0.013	0.034	0.035	0.065	0.374	0.527	1.029	0.758
Aligned_pair1_d	45	0.499	0.49	0.662	0.49	0.662	-1.412	0.336	0.532	0.012	0.035	0.081	0.066	0.037	0.086	0.707	1.079	1.265	3.209	0	0	0	0	1.571	0.013	0.035	0.035	0.066	0.377	0.53	1.029	0.758
Aligned_pair1_d	46	0.499	0.481	0.667	0.481	0.667	-1.436	0.311	0.526	0.012	0.035	0.082	0.066	0.04	0.086	0.677	1.064	1.828	3.151	1.571	1.36	0.344	0	1.571	0.013	0.035	0.039	0.066	0.331	0.525	1.029	0.704
Aligned_pair1_d	47	0.496	0.483	0.664	0.483	0.664	-1.455	0.314	0.53	0.012	0.035	0.082	0.065	0.039	0.085	0.677	1.064	1.828	3.075	0	0	0	0	1.571	0.012	0.034	0.038	0.065	0.329	0.528	1.029	0.704
Aligned_pair1_d	48	0.487	0.484	0.662	0.484	0.662	-1.483	0.317	0.532	0.012	0.033	0.081	0.062	0.037	0.081	0.677	1.064	1.828	2.998	0	0	0	0	1.571	0.012	0.033	0.037	0.062	0.329	0.53	1.029	0.704
Aligned_pair1_d	49	0.49	0.483	0.664	0.483	0.664	-1.477	0.317	0.53	0.012	0.034	0.081	0.064	0.038	0.082	0.677	1.064	1.828	2.953	0	0	0	0	1.571	0.012	0.033	0.037	0.063	0.329	0.528	1.029	0.704
Aligned_pair1_d	50	0.493	0.485	0.662	0.485	0.662	-1.5	0.319	0.532	0.012	0.034	0.082	0.064	0.038	0.083	0.677	1.064	1.828	2.998	0.583	0.536	0.085	0	1.571	0.012	0.034	0.037	0.064	0.328	0.53	1.029	0.704
Aligned_pair1_d	51	0.472	0.482	0.678	0.482	0.678	-1.537	0.326	0.567	0.011	0.032	0.079	0.056	0.034	0.075	0.674	1.095	1.422	3.209	0	NaN	NaN	0	1.571	0.011	0.032	0.034	0.056	0.33	0.568	1.083	0.704
Aligned_pair1_d	52	0.49	0.473	0.685	0.473	0.685	-1.521	0.329	0.559	0.012	0.034	0.081	0.06	0.036	0.081	0.666	1.095	1.422	2.998	0.704	0.677	0.078	0	1.571	0.012	0.034	0.035	0.06	0.339	0.56	1.083	0.704
Aligned_pair1_d	53	0.484	0.473	0.692	0.473	0.692	-1.563	0.337	0.554	0.011	0.034	0.081	0.061	0.034	0.081	0.666	1.095	1.422	2.966	0	0	0	0	1.571	0.011	0.034	0.034	0.061	0.339	0.554	1.083	0.704
Aligned_pair1_d	54	0.481	0.477	0.685	0.477	0.685	-1.517	0.325	0.559	0.011	0.033	0.08	0.059	0.035	0.079	0.666	1.095	1.422	3.043	0.391	0.382	0.026	0	1.571	0.012	0.033	0.034	0.059	0.336	0.561	1.083	0.704
Aligned_pair1_d	55	0.463	0.485	0.681	0.485	0.681	-1.519	0.317	0.512	0.01	0.032	0.077	0.062	0.032	0.08	0.63	1.052	1.363	2.89	0	0	0	0	1.571	0.01	0.032	0.031	0.062	0.328	0.51	1.029	0.704
Aligned_pair1_d	56	0.458	0.504	0.714	0.504	0.714	1.52	0.319	0.487	0.011	0.029	0.076	0.06	0.033	0.077	0.65	1.067	1.989	3.151	0	0	0	0	1.571	0.011	0.029	0.035	0.061	0.308	0.478	0.975	0.65
Aligned_pair1_d	57	0.279	0.566	0.759	0.566	0.759	-1.554	0.402	0.432	0.004	0.016	0.046	0.038	0.01	0.044	0.472	0.976	1.91	2.813	0	0	0	0	1.571	0.004	0.016	0.01	0.037	0.403	0.434	0.921	0.487
Aligned_pair1_d	58	0.158	0.539	0.791	0.539	0.791	0.919	0.359	0.371	0.005	0.005	0.017	0.014	0.013	0.026	0.162	0.49	1.681	1.199	0.217	0.16	0.036	0	1.571	0.005	0.005	0.015	0.017	0.322	0.304	0.487	0.162
Aligned_pair1_d	59	0.258	0.478	0.784	0.478	0.784	1.207	0.399	0.413	0.004	0.012	0.038	0.028	0.01	0.038	0.491	0.893	1.816	2.411	0	0	0	0	1.571	0.005	0.011	0.015	0.026	0.335	0.407	0.867	0.542
Aligned_pair1_d	60	0.246	0.541	0.737	0.541	0.737	-1.38	0.357	0.456	0.004	0.014	0.04	0.03	0.011	0.039	0.518	0.893	1.816	3.209	0.542	0.526	0.051	0	1.571	0.004	0.013	0.012	0.029	0.378	0.455	0.867	0.596
Aligned_pair1_d	61	0.408	0.498	0.703	0.498	0.703	1.511	0.341	0.493	0.009	0.025	0.068	0.05	0.025	0.067	0.63	1.064	1.828	3.043	0	0	0	0	1.571	0.009	0.025	0.026	0.051	0.335	0.488	1.029	0.704
Aligned_pair1_d	62	0.46	0.504	0.684	0.504	0.684	1.54	0.313	0.51	0.009	0.032	0.077	0.062	0.03	0.08	0.623	1.064	1.828	2.723	0.542	0.526	0.051	0	1.571	0.009	0.032	0.031	0.063	0.309	0.508	1.029	0.65
Aligned_pair1_d	63	0.469	0.511	0.682	0.511	0.682	1.531	0.307	0.517	0.01	0.033	0.078	0.063	0.033	0.078	0.632	1.097	1.924	2.876	0	0	0	0	1.571	0.01	0.033	0.033	0.064	0.302	0.509	1.029	0.65
Aligned_pair1_d	64	0.475	0.507	0.679	0.507	0.679	1.518	0.312	0.519	0.01	0.033	0.079	0.064	0.033	0.082	0.65	1.079	1.877	2.8	0	0	0	0	1.571	0.01	0.033	0.034	0.064	0.305	0.512	1.029	0.65
Aligned_pair1_d	65	0.472	0.512	0.681	0.512	0.681	1.517	0.307	0.517	0.01	0.033	0.078	0.064	0.033	0.082	0.631	1.079	1.877	2.8	0	0	0	0	1.571	0.01	0.033	0.034	0.065	0.3	0.511	1.029	0.65
Aligned_pair1_d	66	0.466	0.512	0.677	0.512	0.677	1.516	0.308	0.521	0.01	0.032	0.077	0.062	0.032	0.079	0.631	1.079	1.877	2.755	0.552	0.523	0.071	0	1.571	0.01	0.032	0.033	0.063	0.301	0.514	1.029	0.65
Aligned_pair1_d	67	0.469	0.512	0.678	0.512	0.678	1.512	0.305	0.52	0.01	0.034	0.078	0.064	0.032	0.082	0.631	1.079	1.877	2.787	0	0	0	0	1.571	0.01	0.033	0.033	0.065	0.3	0.513	1.029	0.65
Aligned_pair1_d	68	0.472	0.512	0.672	0.512	0.672	1.506	0.312	0.528	0.01	0.033	0.078	0.063	0.033	0.081	0.65	1.079	1.877	2.953	0.542	0.519	0.071	0	1.571	0.01	0.033	0.034	0.064	0.3	0.52	1.029	0.65
Aligned_pair1_d	69	0.472	0.513	0.664	0.513	0.664	1.494	0.312	0.536	0.01	0.033	0.078	0.062	0.033	0.08	0.646	1.079	1.877	2.953	0	0	0	0	1.571	0.01	0.033	0.035	0.063	0.299	0.527	1.029	0.65
Aligned_pair1_d	70	0.46	0.516	0.671	0.516	0.671	1.469	0.319	0.531	0.01	0.032	0.076	0.06	0.032	0.078	0.647	1.097	1.924	3.043	0.542	0.519	0.071	0	1.571	0.01	0.032	0.035	0.061	0.299	0.52	1.029	0.65
Aligned_pair1_d	71	0.475	0.526	0.7	0.526	0.7	1.369	0.366	0.528	0.011	0.031	0.076	0.06	0.031	0.079	0.704	1.097	2.145	3.119	0	0	0	0	1.571	0.012	0.031	0.036	0.062	0.341	0.491	0.975	0.704
Aligned_pair1_d	72	0.452	0.514	0.694	0.514	0.694	1.37	0.315	0.536	0.01	0.03	0.072	0.055	0.031	0.071	0.65	1.097	2.145	2.966	0	0	0	0	1.571	0.011	0.029	0.035	0.058	0.299	0.497	0.975	0.65
Aligned_pair1_d	73	0.46	0.502	0.68	0.502	0.68	1.339	0.322	0.532	0.011	0.03	0.073	0.056	0.033	0.075	0.682	1.067	1.989	2.813	0	0	0	0	1.571	0.012	0.029	0.034	0.056	0.339	0.511	0.975	0.704
Aligned_pair1_d	74	0.455	0.503	0.675	0.503	0.675	1.374	0.319	0.536	0.01	0.029	0.073	0.053	0.033	0.073	0.678	1.067	1.989	2.8	0.552	0.519	0.065	0	1.571	0.011	0.028	0.033	0.054	0.34	0.517	0.975	0.704
Aligned_pair1_d	75	0.452	0.504	0.672	0.504	0.672	1.367	0.329	0.538	0.01	0.028	0.072	0.053	0.031	0.072	0.685	1.067	1.989	2.845	0	0	0	0	1.571	0.011	0.028	0.032	0.053	0.341	0.519	0.975	0.704
Aligned_pair1_d	76	0.46	0.503	0.674	0.503	0.674	1.365	0.351	0.559	0.011	0.03	0.074	0.053	0.031	0.071	0.704	1.115	2.078	3.304	0.542	0.498	0.083	0	1.571	0.012	0.029	0.035	0.056	0.341	0.517	0.975	0.704
Aligned_pair1_d	77	0.466	0.507	0.676	0.507	0.676	1.389	0.354	0.553	0.011	0.029	0.075	0.053	0.033	0.071	0.701	1.115	2.078	3.196	0	0	0	0	1.571	0.012	0.029	0.035	0.056	0.344	0.516	0.975	0.704
Aligned_pair1_d	78	0.455	0.504	0.666	0.504	0.666	1.398	0.343	0.499	0.011	0.027	0.074	0.055	0.032	0.075	0.697	1.042	2.058	2.998	0.552	0.515	0.09	0	1.571	0.011	0.027	0.033	0.057	0.342	0.471	0.921	0.704
Aligned_pair1_d	79	0.455	0.507	0.661	0.507	0.661	1.362	0.324	0.507	0.011	0.028	0.073	0.055	0.033	0.074	0.694	1.067	1.989	2.934	0	0	0	0	1.571	0.011	0.027	0.033	0.057	0.344	0.476	0.975	0.704
Aligned_pair1_d	80	0.455	0.507	0.662	0.507	0.662	1.383	0.346	0.503	0.012	0.026	0.073	0.052	0.034	0.073	0.704	1.067	1.989	3.317	0	0	0	0	1.571	0.012	0.026	0.035	0.054	0.344	0.475	0.975	0.704
Aligned_pair1_d	81	0.458	0.505	0.668	0.505	0.668	1.388	0.363	0.498	0.012	0.027	0.074	0.054	0.032	0.075	0.697	1.028	1.893	3.164	0	0	0	0	1.571	0.012	0.026	0.035	0.056	0.343	0.469	0.975	0.704
Aligned_pair1_d	82	0.455	0.51	0.665	0.51	0.665	1.385	0.369	0.51	0.012	0.026	0.073	0.05	0.032	0.07	0.7	1.046	1.942	3.043	0.552	0.51	0.105	0	1.571	0.012	0.025	0.035	0.053	0.348	0.472	0.975	0.704
Aligned_pair1_d	83	0.455	0.508	0.664	0.508	0.664	1.407	0.365	0.508	0.012	0.026	0.074	0.051	0.032	0.07	0.695	1.046	1.942	3.043	0	0	0	0	1.571	0.012	0.026	0.035	0.054	0.346	0.473	0.975	0.704
Aligned_pair1_d	84	0.46	0.508	0.669	0.508	0.669	1.428	0.363	0.499	0.012	0.026	0.075	0.053	0.034	0.072	0.695	1.046	1.942	2.998	0.552	0.51	0.105	0	1.571	0.012	0.026	0.036	0.056	0.346	0.468	0.975	0.704
Aligned_pair1_d	85	0.458	0.51	0.669	0.51	0.669	1.437	0.371	0.497	0.012	0.026	0.075	0.053	0.032	0.072	0.69	1.046	1.942	3.03	0	0	0	0	1.571	0.012	0.026	0.035	0.056	0.348	0.468	0.975	0.704
Aligned_pair1_d	86	0.446	0.504	0.67	0.504	0.67	1.451	0.363	0.494	0.011	0.027	0.073	0.054	0.03	0.071	0.686	1.046	1.942	3.119	0.542	0.528	0.044	0	1.571	0.011	0.026	0.033	0.057	0.342	0.467	0.975	0.704
Aligned_pair1_d	87	0.443	0.505	0.673	0.505	0.673	1.454	0.363	0.491	0.011	0.026	0.073	0.053	0.03	0.07	0.686	1.042	2.058	3.075	0	0	0	0	1.571	0.011	0.026	0.032	0.056	0.343	0.464	0.975	0.704
Aligned_pair1_d	88	0.437	0.507	0.674	0.507	0.674	1.435	0.367	0.493	0.01	0.026	0.071	0.052	0.028	0.069	0.686	1.042	2.058	3.151	0	0	0	0	1.571	0.011	0.025	0.031	0.055	0.344	0.463	0.975	0.704
Aligned_pair1_d	89	0.414	0.507	0.663	0.507	0.663	1.464	0.322	0.446	0.009	0.022	0.068	0.05	0.028	0.068	0.622	0.969	2.034	2.615	0	0	0	0	1.571	0.009	0.022	0.03	0.05	0.305	0.446	0.921	0.65
Aligned_pair1_d	90	0.408	0.505	0.664	0.505	0.664	1.481	0.322	0.436	0.009	0.021	0.067	0.049	0.028	0.065	0.622	0.969	2.034	2.525	0	NaN	NaN	0	1.571	0.009	0.021	0.029	0.051	0.307	0.42	0.867	0.65
Aligned_pair1_d	91	0.39	0.512	0.676	0.512	0.676	1.541	0.307	0.413	0.009	0.019	0.065	0.045	0.028	0.061	0.618	0.925	1.93	2.57	0	0	0	0	1.571	0.009	0.019	0.029	0.046	0.3	0.407	0.867	0.65
Aligned_pair1_d	92	0.384	0.506	0.682	0.506	0.682	1.468	0.324	0.42	0.008	0.019	0.063	0.045	0.024	0.06	0.649	0.925	1.93	2.494	0	NaN	NaN	0	1.571	0.008	0.019	0.026	0.046	0.306	0.411	0.867	0.65
Aligned_pair1_d	93	0.381	0.506	0.679	0.506	0.679	1.467	0.324	0.423	0.008	0.018	0.063	0.044	0.024	0.058	0.649	0.925	1.93	2.538	0	0	0	0	1.571	0.008	0.018	0.026	0.045	0.306	0.408	0.867	0.65
Aligned_pair1_d	94	0.384	0.512	0.678	0.512	0.678	1.436	0.324	0.434	0.008	0.019	0.063	0.043	0.025	0.057	0.65	0.946	1.983	2.615	0.542	0.502	0.104	0	1.571	0.008	0.019	0.028	0.046	0.301	0.408	0.867	0.65
Aligned_pair1_d	95	0.384	0.51	0.673	0.51	0.673	1.425	0.326	0.442	0.008	0.019	0.063	0.042	0.025	0.056	0.65	0.947	2.111	2.615	0	0	0	0	1.571	0.008	0.018	0.028	0.045	0.303	0.411	0.867	0.65
Aligned_pair1_d	96	0.378	0.508	0.67	0.508	0.67	1.4	0.322	0.449	0.008	0.018	0.061	0.04	0.024	0.054	0.638	0.947	2.111	2.57	0	0	0	0	1.571	0.008	0.018	0.027	0.043	0.305	0.413	0.867	0.65
Aligned_pair1_d	97	0.378	0.508	0.676	0.508	0.676	1.371	0.325	0.449	0.008	0.019	0.061	0.042	0.023	0.055	0.638	0.947	2.111	2.507	0	0	0	0	1.571	0.008	0.018	0.026	0.045	0.305	0.407	0.867	0.65
Aligned_pair1_d	98	0.384	0.511	0.671	0.511	0.671	1.405	0.319	0.439	0.008	0.019	0.062	0.043	0.025	0.059	0.638	0.925	1.93	2.507	0.542	0.522	0.062	0	1.571	0.008	0.019	0.027	0.045	0.302	0.413	0.867	0.65
Aligned_pair1_d	99	0.381	0.507	0.666	0.507	0.666	1.415	0.321	0.434	0.008	0.019	0.062	0.043	0.024	0.06	0.638	0.908	1.874	2.475	0	0	0	0	1.571	0.008	0.018	0.026	0.044	0.305	0.417	0.867	0.65
Aligned_pair1_d	100	0.381	0.507	0.666	0.507	0.666	1.415	0.321	0.434	0.008	0.019	0.062	0.043	0.024	0.06	0.638	0.908	1.874	2.475	0	0	0	0	1.571	0.008	0.018	0.026	0.044	0.305	0.417	0.867	0.65
Aligned_pair1_d	101	0.378	0.51	0.676	0.51	0.676	1.36	0.324	0.439	0.008	0.019	0.06	0.042	0.023	0.058	0.65	0.946	1.983	2.596	0	0	0	0	1.571	0.008	0.018	0.027	0.045	0.302	0.408	0.867	0.65
Aligned_pair1_d	102	0.346	0.49	0.674	0.49	0.674	1.373	0.289	0.443	0.006	0.017	0.055	0.038	0.02	0.049	0.596	0.946	1.983	2.565	0.484	0.437	0.093	0	1.571	0.006	0.017	0.023	0.04	0.274	0.409	0.867	0.596
Aligned_pair1_d	103	0.349	0.493	0.674	0.493	0.674	1.359	0.287	0.444	0.006	0.018	0.056	0.039	0.02	0.051	0.542	0.947	2.111	2.552	0	0	0	0	1.571	0.006	0.017	0.024	0.042	0.265	0.409	0.867	0.542
Aligned_pair1_d	104	0.349	0.493	0.674	0.493	0.674	1.359	0.287	0.444	0.006	0.018	0.056	0.039	0.02	0.051	0.542	0.947	2.111	2.552	0	0	0	0	1.571	0.006	0.017	0.024	0.042	0.265	0.409	0.867	0.542
Aligned_pair1_d	105	0.355	0.498	0.668	0.498	0.668	1.372	0.28	0.447	0.006	0.018	0.057	0.04	0.021	0.052	0.579	0.946	1.983	2.52	0	0	0	0	1.571	0.006	0.018	0.023	0.042	0.281	0.415	0.867	0.596
Aligned_pair1_d	106	0.358	0.501	0.659	0.501	0.659	1.357	0.341	0.457	0.007	0.017	0.057	0.038	0.019	0.051	0.648	0.946	1.983	2.673	0.542	0.485	0.116	0	1.571	0.007	0.017	0.023	0.04	0.312	0.424	0.867	0.65
Aligned_pair1_d	107	0.361	0.5	0.672	0.5	0.672	1.355	0.28	0.486	0.006	0.019	0.057	0.039	0.022	0.051	0.582	0.976	1.91	2.52	0	0	0	0	1.571	0.007	0.018	0.024	0.039	0.284	0.465	0.921	0.596
Aligned_pair1_d	108	0.361	0.505	0.668	0.505	0.668	1.373	0.273	0.489	0.006	0.019	0.058	0.039	0.022	0.051	0.588	0.976	1.91	2.565	0	0	0	0	1.571	0.007	0.019	0.023	0.04	0.288	0.47	0.921	0.596
Aligned_pair1_d	109	0.343	0.504	0.663	0.504	0.663	1.384	0.273	0.45	0.006	0.017	0.055	0.037	0.021	0.048	0.588	0.921	2.061	2.61	0	0	0	0	1.571	0.006	0.016	0.021	0.039	0.287	0.42	0.867	0.596
Aligned_pair1_d	110	0.349	0.501	0.67	0.501	0.67	1.36	0.279	0.446	0.006	0.017	0.056	0.038	0.022	0.05	0.588	0.921	2.061	2.475	0.542	0.479	0.115	0	1.571	0.007	0.016	0.023	0.04	0.284	0.413	0.867	0.596
Aligned_pair1_d	111	0.355	0.507	0.662	0.507	0.662	1.392	0.331	0.45	0.007	0.017	0.057	0.037	0.021	0.05	0.649	0.921	2.061	2.552	0	0	0	0	1.571	0.007	0.016	0.024	0.039	0.305	0.421	0.867	0.65
Aligned_pair1_d	112	0.364	0.508	0.663	0.508	0.663	1.381	0.332	0.449	0.007	0.018	0.058	0.039	0.021	0.053	0.649	0.946	1.983	2.552	0	0	0	0	1.571	0.007	0.017	0.024	0.041	0.304	0.42	0.867	0.65
Aligned_pair1_d	113	0.367	0.513	0.665	0.513	0.665	1.394	0.326	0.489	0.007	0.019	0.059	0.038	0.022	0.052	0.649	0.976	1.91	2.641	0	0	0	0	1.571	0.007	0.018	0.025	0.039	0.299	0.472	0.921	0.65
Aligned_pair1_d	114	0.355	0.503	0.665	0.503	0.665	1.358	0.287	0.452	0.006	0.018	0.057	0.04	0.021	0.052	0.596	0.946	1.983	2.52	0.484	0.442	0.083	0	1.571	0.007	0.018	0.023	0.042	0.286	0.418	0.867	0.596
Aligned_pair1_d	115	0.323	0.493	0.647	0.493	0.647	1.427	0.286	0.454	0.005	0.016	0.053	0.034	0.017	0.044	0.542	0.925	1.93	2.322	0	0	0	0	1.571	0.005	0.015	0.019	0.035	0.265	0.436	0.867	0.542
Aligned_pair1_d	116	0.32	0.495	0.65	0.495	0.65	1.442	0.282	0.45	0.005	0.015	0.052	0.034	0.017	0.044	0.542	0.925	1.93	2.322	0	0	0	0	1.571	0.005	0.015	0.019	0.035	0.263	0.433	0.867	0.542
Aligned_pair1_d	117	0.32	0.499	0.65	0.499	0.65	1.445	0.278	0.455	0.005	0.015	0.052	0.033	0.018	0.042	0.542	0.925	1.93	2.43	0	0	0	0	1.571	0.005	0.015	0.02	0.035	0.259	0.433	0.867	0.542
Aligned_pair1_d	118	0.326	0.501	0.641	0.501	0.641	1.431	0.276	0.466	0.005	0.016	0.053	0.034	0.019	0.043	0.542	0.947	2.111	2.507	0.484	0.441	0.079	0	1.571	0.005	0.016	0.021	0.035	0.257	0.442	0.867	0.542
Aligned_pair1_d	119	0.323	0.502	0.638	0.502	0.638	1.43	0.267	0.469	0.005	0.016	0.053	0.034	0.018	0.043	0.542	0.947	2.111	2.507	0	0	0	0	1.571	0.005	0.016	0.02	0.036	0.257	0.445	0.867	0.542
